datetime,load
2018-02-14,12.020999999999999
2018-02-15,13.368999999999998
2018-02-16,13.187000000000001
2018-02-17,13.398
2018-02-18,13.654
2018-02-19,13.273000000000001
2018-02-20,13.371999999999998
2018-02-21,13.624999999999996
2018-02-22,13.373
2018-02-23,13.318
2018-02-24,13.353
2018-02-25,13.193999999999999
2018-02-26,12.856
2018-02-27,12.667999999999996
2018-02-28,12.453000000000001
2018-03-01,12.668
2018-03-02,12.861
2018-03-03,12.944999999999995
2018-03-04,12.934
2018-03-05,12.773000000000001
2018-03-06,12.544
2018-03-07,12.807
2018-03-08,12.182999999999995
2018-03-09,12.005
2018-03-10,12.413999999999998
2018-03-11,12.337000000000002
2018-03-12,12.085
2018-03-13,11.982000000000001
2018-03-14,12.076
2018-03-15,12.144000000000002
2018-03-16,12.357
2018-03-17,12.518000000000002
2018-03-18,12.792
2018-03-19,11.877999999999997
2018-03-20,11.806000000000001
2018-03-21,11.744999999999997
2018-03-22,11.418
2018-03-23,11.546
2018-03-24,11.651
2018-03-25,10.022
2018-03-26,10.949
2018-03-27,11.287
2018-03-28,11.343999999999998
2018-03-29,11.839
2018-03-30,11.287000000000003
2018-03-31,11.164000000000003
2018-04-01,11.237000000000004
2018-04-02,10.956000000000001
2018-04-03,10.863000000000001
2018-04-04,11.024000000000001
2018-04-05,11.152999999999999
2018-04-06,10.692000000000004
2018-04-07,10.648000000000003
2018-04-08,10.652000000000001
2018-04-09,10.599
2018-04-10,11.162000000000004
2018-04-11,10.602000000000002
2018-04-12,10.571
2018-04-13,10.343000000000004
2018-04-14,10.436000000000003
2018-04-15,10.927000000000003
2018-04-16,11.887
2018-04-17,10.478
2018-04-18,10.156000000000002
2018-04-19,9.967000000000002
2018-04-20,10.031999999999998
2018-04-21,10.004999999999999
2018-04-22,10.016000000000004
2018-04-23,9.981000000000002
2018-04-24,10.171000000000001
2018-04-25,9.860000000000003
2018-04-26,10.339
2018-04-27,10.054
2018-04-28,9.754000000000003
2018-04-29,9.952
2018-04-30,9.813000000000002
2018-05-01,10.175
2018-05-02,9.683000000000003
2018-05-03,9.941
2018-05-04,10.236
2018-05-05,10.36
2018-05-06,9.670000000000002
2018-05-07,9.457000000000003
2018-05-08,9.257000000000003
2018-05-09,9.109000000000002
2018-05-10,8.934000000000003
2018-05-11,9.339000000000002
2018-05-12,9.941999999999998
2018-05-13,8.902999999999999
2018-05-14,9.781000000000002
2018-05-15,9.336000000000002
2018-05-16,8.657
2018-05-17,8.751999999999999
2018-05-18,8.671000000000001
2018-05-19,9.011000000000003
2018-05-20,8.946
2018-05-21,8.584999999999999
2018-05-22,8.491000000000003
2018-05-23,8.573999999999998
2018-05-24,8.548000000000002
2018-05-25,8.779000000000002
2018-05-26,8.701000000000002
2018-05-27,8.591999999999999
2018-05-28,8.397
2018-05-29,8.327000000000002
2018-05-30,8.453999999999999
2018-05-31,8.439000000000002
2018-06-01,8.179000000000002
2018-06-02,8.47
2018-06-03,8.280000000000001
2018-06-04,8.491999999999999
2018-06-05,8.515000000000004
2018-06-06,8.486000000000002
